2024-10-24 14:08:42,986 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 14:08:42,986 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 14:08:43,303 - DEBUG - __main__ - Request successful!
2024-10-24 14:08:43,303 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-24 14:08:43,303 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-24 14:08:43,303 - DEBUG - __main__ - Initiating a DB Connection
2024-10-24 14:08:43,303 - DEBUG - __main__ - DB Connection : 0 
2024-10-24 14:08:43,303 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852059
2024-10-24 14:09:50,548 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 14:09:50,548 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 14:09:50,553 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 14:09:50,553 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 14:09:50,553 - DEBUG - __main__ - Associated store: 1 
2024-10-24 14:09:50,553 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 14:09:50,553 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 14:09:50,553 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 14:09:51,803 - DEBUG - __main__ - Request successful!
2024-10-24 14:09:51,803 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 14:09:51,803 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 14:09:52,104 - DEBUG - __main__ - Request successful!
2024-10-24 14:09:52,104 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-24 14:09:52,104 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-24 14:09:52,104 - DEBUG - __main__ - Initiating a DB Connection
2024-10-24 14:09:52,120 - DEBUG - __main__ - DB Connection : 0 
2024-10-24 14:09:52,120 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852059
2024-10-24 14:11:24,876 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 14:11:24,876 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 14:11:24,876 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 14:11:24,876 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 14:11:24,876 - DEBUG - __main__ - Associated store: 1 
2024-10-24 14:11:24,876 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 14:11:24,876 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 14:11:24,876 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 14:11:26,064 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-24 14:11:26,065 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-24 14:11:26,398 - DEBUG - __main__ - Request successful!
2024-10-24 14:11:26,398 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 14:11:26,398 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 14:11:26,712 - DEBUG - __main__ - Request successful!
2024-10-24 14:11:26,712 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-24 14:11:26,712 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-24 14:11:26,712 - DEBUG - __main__ - Initiating a DB Connection
2024-10-24 14:11:26,728 - DEBUG - __main__ - DB Connection : 0 
2024-10-24 14:11:26,728 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852059
2024-10-24 14:17:25,806 - DEBUG - __main__ - Start of the Stub Program
2024-10-24 14:17:25,806 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-24 14:17:25,806 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-24 14:17:25,806 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-24 14:17:25,806 - DEBUG - __main__ - Associated store: 1 
2024-10-24 14:17:25,806 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-24 14:17:25,806 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-24 14:17:25,806 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-24 14:17:27,013 - DEBUG - __main__ - Copied C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\archive\dextest.dex
2024-10-24 14:17:27,013 - DEBUG - __main__ - Moved C:\Projects\FoodLand\Dex\DexFiles\dextest.dex to C:\Projects\FoodLand\Dex\DexFiles\remotedir\dextest.dex
2024-10-24 14:17:27,416 - DEBUG - __main__ - Request successful!
2024-10-24 14:17:27,416 - DEBUG - __main__ - {'sessionId': '7fb12a8df920'}
2024-10-24 14:17:27,416 - DEBUG - __main__ - Session Id :7fb12a8df920
2024-10-24 14:17:27,713 - DEBUG - __main__ - Request successful!
2024-10-24 14:17:27,713 - DEBUG - __main__ - {
  "fileName": "invoice3.dex",
  "totalProcessingTime": "00:00:52.9171829",
  "status": "Failed",
  "sessionId": "7fb12a8df920",
  "invoices": [
    "6004852059",
    "6004852060"
  ]
}
2024-10-24 14:17:27,713 - DEBUG - __main__ - Invoice List :['6004852059', '6004852060']
2024-10-24 14:17:27,713 - DEBUG - __main__ - Initiating a DB Connection
2024-10-24 14:17:27,713 - DEBUG - __main__ - DB Connection : 0 
2024-10-24 14:17:27,713 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852059
2024-10-24 14:17:43,665 - DEBUG - __main__ - Writing Invoice Details to  the table for 6004852060
2024-10-24 14:17:47,249 - DEBUG - __main__ - DB Handling complete
2024-10-29 12:31:03,042 - DEBUG - __main__ - Start of the Stub Program
2024-10-29 12:31:03,042 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
2024-10-29 12:31:03,042 - DEBUG - __main__ - Name of Folder that has the 894 File: C:\Projects\FoodLand\Dex\DexFiles 
2024-10-29 12:31:06,537 - DEBUG - __main__ - Parsing the Configuration file.
2024-10-29 12:31:14,184 - DEBUG - __main__ - Associated store: 1 
2024-10-29 12:31:14,891 - DEBUG - __main__ - Remote Dir: C:\Projects\FoodLand\Dex\DexFiles\remotedir 
2024-10-29 12:31:23,991 - DEBUG - __main__ - Archive Dir: C:\Projects\FoodLand\Dex\DexFiles\archive 
2024-10-29 12:31:51,943 - DEBUG - __main__ - Starting the Movement of the file to archive and Remote Folders: dextest.dex 
2024-10-29 12:32:03,449 - DEBUG - __main__ - Request failed!
2024-10-29 12:32:38,981 - DEBUG - __main__ - Start of the Stub Program
2024-10-29 12:32:38,981 - DEBUG - __main__ - Name of the 894 File to be Integrated: dextest.dex 
